,quote,quotee
318,Garry Kasparov,My favorite victory is when it is not even clear where my opponent made a mistake.
319,Peter Leko,"Win with grace, lose with dignity."
320,Susan Polgar,"Pawns are such fascinating pieces, too...So small, almost insignificant, and yet--they can depose kings."
321,Lavie Tidhar,"The move is there, but you must see it."
322,Savielly Tartakower,"The kings are an apt metaphor for human beings: utterly constrained by the rules of the game, defenseless against bombardment from all sides, able only to temporarily dodge disaster by moving one step in any direction."
323,Jennifer duBois,"If chess is an art, Alekhine. If chess is a science, Capablanca. If chess is a struggle, Lasker. --on who he thought was the best player."
324,Savielly Tartakower,"Chess is a good mistress, but a bad master."
325,Gerald Abrahams,I often play a move I know how to refute.
326,Bent Larsen,"First restrain, next blockade, lastly destroy."
327,Aron Nimzowitsch,"If you don't know what to do, find your worst piece and look for a better square."
